STATE/UT,Crime Head,YEAR,No. Of Cases Reported,No. of Victims upto 10 years,No. of Victims 10-14 years,No. of Victims 14-18 years,No. of Victims 18-30 years,No. of Victims 30-50 years,No. of Victims above 50 years,Total Victims
Andhra Pradesh,Incest cases,2013,5,2,1,1,1,0,0,5
Arunachal Pradesh,Incest cases,2013,0,0,0,0,0,0,0,0
Assam,Incest cases,2013,8,0,0,0,8,0,0,8
Bihar,Incest cases,2013,6,0,1,3,2,0,0,6
Chhattisgarh,Incest cases,2013,15,0,2,2,8,3,0,15
Goa,Incest cases,2013,6,0,1,2,2,1,0,6
Gujarat,Incest cases,2013,17,5,1,7,3,1,0,17
Haryana,Incest cases,2013,8,2,1,1,1,3,0,8
Himachal Pradesh,Incest cases,2013,9,0,3,4,2,0,0,9
Jammu & Kashmir,Incest cases,2013,0,0,0,0,0,0,0,0
Jharkhand,Incest cases,2013,0,0,0,0,0,0,0,0
Karnataka,Incest cases,2013,11,2,0,5,3,1,0,11
Kerala,Incest cases,2013,79,13,28,31,8,1,0,81
Madhya Pradesh,Incest cases,2013,22,4,5,5,8,0,0,22
Maharashtra,Incest cases,2013,108,34,23,31,21,8,0,117
Manipur,Incest cases,2013,0,0,0,0,0,0,0,0
Meghalaya,Incest cases,2013,22,9,11,2,0,0,0,22
Mizoram,Incest cases,2013,7,0,3,1,4,0,0,8
Nagaland,Incest cases,2013,0,0,0,0,0,0,0,0
Odisha,Incest cases,2013,3,2,0,1,0,0,0,3
Punjab,Incest cases,2013,9,2,4,1,2,0,0,9
Rajasthan,Incest cases,2013,56,3,13,7,20,13,0,56
Sikkim,Incest cases,2013,0,0,0,0,0,0,0,0
Tamil Nadu,Incest cases,2013,6,0,2,3,1,0,0,6
Tripura,Incest cases,2013,1,0,0,0,1,0,0,1
Uttar Pradesh,Incest cases,2013,63,11,22,20,8,2,0,63
Uttarakhand,Incest cases,2013,10,3,5,1,0,1,0,10
West Bengal,Incest cases,2013,18,2,1,6,9,0,0,18
Total (State),Incest cases,2013,489,94,127,134,112,34,0,501
A&N Islands,Incest cases,2013,0,0,0,0,0,0,0,0
Chandigarh,Incest cases,2013,0,0,0,0,0,0,0,0
D&N Haveli,Incest cases,2013,0,0,0,0,0,0,0,0
Daman & Diu,Incest cases,2013,0,0,0,0,0,0,0,0
Delhi UT,Incest cases,2013,47,13,8,17,5,2,2,47
Lakshadweep,Incest cases,2013,0,0,0,0,0,0,0,0
Puducherry,Incest cases,2013,0,0,0,0,0,0,0,0
Total (UTs),Incest cases,2013,47,13,8,17,5,2,2,47
Total (All-India),Incest cases,2013,536,107,135,151,117,36,2,548
Andhra Pradesh,Other rape cases,2013,1630,117,147,534,643,145,45,1631
Arunachal Pradesh,Other rape cases,2013,75,6,14,15,40,0,0,75
Assam,Other rape cases,2013,1929,16,39,175,1238,457,4,1929
Bihar,Other rape cases,2013,1122,30,28,183,704,171,6,1122
Chhattisgarh,Other rape cases,2013,1365,86,142,547,477,107,6,1365
Goa,Other rape cases,2013,80,5,5,46,13,10,1,80
Gujarat,Other rape cases,2013,715,30,65,157,382,77,5,716
Haryana,Other rape cases,2013,963,35,93,256,413,160,6,963
Himachal Pradesh,Other rape cases,2013,241,9,24,98,80,28,2,241
Jammu & Kashmir,Other rape cases,2013,378,1,5,19,268,88,1,382
Jharkhand,Other rape cases,2013,1204,1,11,70,950,172,0,1204
Karnataka,Other rape cases,2013,1019,48,102,391,372,90,16,1019
Kerala,Other rape cases,2013,1142,54,104,423,382,159,16,1138
Madhya Pradesh,Other rape cases,2013,4313,105,489,1504,1621,569,27,4315
Maharashtra,Other rape cases,2013,2955,208,313,955,1171,308,12,2967
Manipur,Other rape cases,2013,72,10,12,19,25,4,2,72
Meghalaya,Other rape cases,2013,161,36,31,25,58,12,1,163
Mizoram,Other rape cases,2013,82,19,16,19,18,15,2,89
Nagaland,Other rape cases,2013,31,3,6,6,14,2,0,31
Odisha,Other rape cases,2013,1829,61,93,352,1038,265,20,1829
Punjab,Other rape cases,2013,879,36,89,358,284,110,2,879
Rajasthan,Other rape cases,2013,3229,47,143,679,1637,684,40,3230
Sikkim,Other rape cases,2013,43,4,16,18,5,0,0,43
Tamil Nadu,Other rape cases,2013,917,61,78,280,395,93,16,923
Tripura,Other rape cases,2013,232,18,24,58,113,17,2,232
Uttar Pradesh,Other rape cases,2013,2987,243,373,767,1299,300,5,2987
Uttarakhand,Other rape cases,2013,218,0,8,15,152,43,0,218
West Bengal,Other rape cases,2013,1667,24,54,290,956,333,10,1667
Total (State),Other rape cases,2013,31478,1313,2524,8259,14748,4419,247,31510
A&N Islands,Other rape cases,2013,27,4,4,15,4,1,1,29
Chandigarh,Other rape cases,2013,45,7,4,9,22,3,0,45
D&N Haveli,Other rape cases,2013,5,0,1,3,0,0,1,5
Daman & Diu,Other rape cases,2013,8,1,2,1,4,0,0,8
Delhi UT,Other rape cases,2013,1589,152,170,432,655,186,5,1600
Lakshadweep,Other rape cases,2013,2,0,0,1,0,1,0,2
Puducherry,Other rape cases,2013,17,0,3,6,6,2,0,17
Total (UTs),Other rape cases,2013,1693,164,184,467,691,193,7,1706
Total (All-India),Other rape cases,2013,33171,1477,2708,8726,15439,4612,254,33216
Andhra Pradesh,Total,2013,1635,119,148,535,644,145,45,1636
Arunachal Pradesh,Total,2013,75,6,14,15,40,0,0,75
Assam,Total,2013,1937,16,39,175,1246,457,4,1937
Bihar,Total,2013,1128,30,29,186,706,171,6,1128
Chhattisgarh,Total,2013,1380,86,144,549,485,110,6,1380
Goa,Total,2013,86,5,6,48,15,11,1,86
Gujarat,Total,2013,732,35,66,164,385,78,5,733
Haryana,Total,2013,971,37,94,257,414,163,6,971
Himachal Pradesh,Total,2013,250,9,27,102,82,28,2,250
Jammu & Kashmir,Total,2013,378,1,5,19,268,88,1,382
Jharkhand,Total,2013,1204,1,11,70,950,172,0,1204
Karnataka,Total,2013,1030,50,102,396,375,91,16,1030
Kerala,Total,2013,1221,67,132,454,390,160,16,1219
Madhya Pradesh,Total,2013,4335,109,494,1509,1629,569,27,4337
Maharashtra,Total,2013,3063,242,336,986,1192,316,12,3084
Manipur,Total,2013,72,10,12,19,25,4,2,72
Meghalaya,Total,2013,183,45,42,27,58,12,1,185
Mizoram,Total,2013,89,19,19,20,22,15,2,97
Nagaland,Total,2013,31,3,6,6,14,2,0,31
Odisha,Total,2013,1832,63,93,353,1038,265,20,1832
Punjab,Total,2013,888,38,93,359,286,110,2,888
Rajasthan,Total,2013,3285,50,156,686,1657,697,40,3286
Sikkim,Total,2013,43,4,16,18,5,0,0,43
Tamil Nadu,Total,2013,923,61,80,283,396,93,16,929
Tripura,Total,2013,233,18,24,58,114,17,2,233
Uttar Pradesh,Total,2013,3050,254,395,787,1307,302,5,3050
Uttarakhand,Total,2013,228,3,13,16,152,44,0,228
West Bengal,Total,2013,1685,26,55,296,965,333,10,1685
Total (State),Total,2013,31967,1407,2651,8393,14860,4453,247,32011
A&N Islands,Total,2013,27,4,4,15,4,1,1,29
Chandigarh,Total,2013,45,7,4,9,22,3,0,45
D&N Haveli,Total,2013,5,0,1,3,0,0,1,5
Daman & Diu,Total,2013,8,1,2,1,4,0,0,8
Delhi UT,Total,2013,1636,165,178,449,660,188,7,1647
Lakshadweep,Total,2013,2,0,0,1,0,1,0,2
Puducherry,Total,2013,17,0,3,6,6,2,0,17
Total (UTs),Total,2013,1740,177,192,484,696,195,9,1753
Total (All-India),Total,2013,33707,1584,2843,8877,15556,4648,256,33764
